,index,mechanism,action,drugA,drugB
195864,195864,The risk or severity of adverse effects,increase,Dacarbazine,Colchicine
195866,195866,The risk or severity of adverse effects,increase,Dacarbazine,Everolimus
195867,195867,The risk or severity of adverse effects,increase,Dacarbazine,Hydroxychloroquine
195869,195869,The risk or severity of adverse effects,increase,Dacarbazine,Ixabepilone
195877,195877,The risk or severity of adverse effects,increase,Dacarbazine,Cabazitaxel
195883,195883,The risk or severity of adverse effects,increase,Dacarbazine,Ibrutinib
195888,195888,The risk or severity of adverse effects,increase,Dacarbazine,Baricitinib
195901,195901,The serum concentration,increase,Dacarbazine,Abiraterone
195902,195902,The risk or severity of adverse effects,increase,Leflunomide,Dacarbazine
195917,195917,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Dacarbazine
195921,195921,the excretion rate which could result in a higher serum level,decrease,Ketoprofen,Dacarbazine
195922,195922,the excretion rate which could result in a higher serum level,decrease,Balsalazide,Dacarbazine
195923,195923,the excretion rate which could result in a higher serum level,decrease,Ibuprofen,Dacarbazine
195925,195925,the excretion rate which could result in a higher serum level,decrease,Ceftriaxone,Dacarbazine
195926,195926,the excretion rate which could result in a higher serum level,decrease,Lumiracoxib,Dacarbazine
195927,195927,the excretion rate which could result in a higher serum level,decrease,Cefazolin,Dacarbazine
195931,195931,the excretion rate which could result in a higher serum level,decrease,Etoricoxib,Dacarbazine
195937,195937,the excretion rate which could result in a higher serum level,decrease,Lornoxicam,Dacarbazine
195938,195938,the excretion rate which could result in a higher serum level,decrease,Aceclofenac,Dacarbazine
195944,195944,the excretion rate which could result in a higher serum level,decrease,Morniflumate,Dacarbazine
195953,195953,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Amantadine
195954,195954,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Almotriptan
195958,195958,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Methyldopa
195959,195959,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Dopamine
195961,195961,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Metyrapone
195962,195962,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Guanfacine
195966,195966,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Fenofibrate
195967,195967,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Memantine
195968,195968,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Lubiprostone
195971,195971,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Glipizide
195972,195972,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Clonazepam
195976,195976,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Doxacurium
195977,195977,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Nefazodone
195978,195978,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Bupropion
195980,195980,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Naloxone
195981,195981,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Fomepizole
195982,195982,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Estazolam
195983,195983,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Ketamine
195988,195988,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Hydralazine
195996,195996,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Clevidipine
195997,195997,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Ezogabine
195999,195999,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Brivaracetam
196001,196001,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Alogliptin
196005,196005,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Nalmefene
196006,196006,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Droxidopa
196007,196007,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Levocetirizine
196014,196014,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Methyltestosterone
196015,196015,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Mirabegron
196017,196017,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Enzalutamide
196020,196020,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Macitentan
196024,196024,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Dienogest
196028,196028,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Blonanserin
196037,196037,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Apalutamide
196040,196040,the excretion rate which could result in a higher serum level,decrease,Dacarbazine,Deutetrabenazine
196053,196053,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Diazoxide,Dacarbazine
196054,196054,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Dacarbazine,Bumetanide
196056,196056,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Dacarbazine,Canagliflozin
196058,196058,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Conivaptan,Dacarbazine
196061,196061,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Efonidipine,Dacarbazine
196062,196062,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Ertugliflozin,Dacarbazine
196063,196063,The metabolism,decrease,Metoclopramide,Dacarbazine
196066,196066,The metabolism,decrease,Ethanol,Dacarbazine
196067,196067,The metabolism,decrease,Cyclobenzaprine,Dacarbazine
196068,196068,The metabolism,decrease,Maprotiline,Dacarbazine
196070,196070,The metabolism,decrease,Frovatriptan,Dacarbazine
196071,196071,The metabolism,decrease,Levobupivacaine,Dacarbazine
196072,196072,The metabolism,decrease,Cinacalcet,Dacarbazine
196073,196073,The metabolism,decrease,Melatonin,Dacarbazine
196074,196074,The metabolism,decrease,Hesperetin,Dacarbazine
196075,196075,The metabolism,decrease,Carvedilol,Dacarbazine
196076,196076,The metabolism,decrease,Cilostazol,Dacarbazine
196077,196077,The metabolism,decrease,Domperidone,Dacarbazine
196078,196078,The metabolism,decrease,Dexfenfluramine,Dacarbazine
196082,196082,The metabolism,decrease,Bromazepam,Dacarbazine
196087,196087,The metabolism,decrease,Flunarizine,Dacarbazine
196088,196088,The metabolism,decrease,Lorcaserin,Dacarbazine
196090,196090,The metabolism,decrease,Mianserin,Dacarbazine
196091,196091,The metabolism,decrease,Eltrombopag,Dacarbazine
196092,196092,The metabolism,decrease,Asenapine,Dacarbazine
196094,196094,The metabolism,decrease,Agomelatine,Dacarbazine
196095,196095,The metabolism,decrease,Axitinib,Dacarbazine
196104,196104,The metabolism,decrease,Azelastine,Dacarbazine
196106,196106,The metabolism,decrease,Flecainide,Dacarbazine
196108,196108,The metabolism,decrease,Doxepin,Dacarbazine
196109,196109,The metabolism,decrease,Desipramine,Dacarbazine
196110,196110,The metabolism,decrease,Clomipramine,Dacarbazine
196113,196113,The metabolism,decrease,Dacarbazine,Midostaurin
196117,196117,The metabolism,increase,Dacarbazine,Fosphenytoin
196122,196122,The metabolism,increase,Capsaicin,Dacarbazine
196123,196123,The metabolism,decrease,Dacarbazine,Alosetron
196124,196124,The metabolism,decrease,Dacarbazine,Ketoconazole
196128,196128,The metabolism,decrease,Dacarbazine,Lobeglitazone
196132,196132,The metabolism,decrease,Dacarbazine,Famotidine
196135,196135,The metabolism,decrease,Dacarbazine,Isoniazid
196136,196136,The metabolism,decrease,Dacarbazine,Lomefloxacin
196140,196140,The metabolism,decrease,Dacarbazine,Amiodarone
196141,196141,The metabolism,decrease,Dacarbazine,Levofloxacin
196147,196147,The metabolism,decrease,Dacarbazine,Gemfibrozil
196151,196151,The metabolism,decrease,Dacarbazine,Dapagliflozin
196153,196153,The metabolism,decrease,Dacarbazine,Lenvatinib
196167,196167,The metabolism,decrease,Dacarbazine,Cannabidiol
196168,196168,The metabolism,decrease,Dacarbazine,Nabiximols
196171,196171,The metabolism,decrease,Aminophylline,Dacarbazine
196172,196172,The metabolism,decrease,Acenocoumarol,Dacarbazine
196180,196180,The metabolism,increase,Dacarbazine,Apremilast
197189,197189,The risk or severity of hypertension,increase,Diflunisal,Naratriptan
197190,197190,The risk or severity of hypertension,increase,Diflunisal,Frovatriptan
197191,197191,The risk or severity of hypertension,increase,Diflunisal,Methoxyflurane
197194,197194,The risk or severity of hypertension,increase,Diflunisal,Dutasteride
197195,197195,The risk or severity of hypertension,increase,Diflunisal,Halothane
197196,197196,The risk or severity of hypertension,increase,Diflunisal,Moclobemide
197198,197198,The risk or severity of hypertension,increase,Diflunisal,Finasteride
197199,197199,The risk or severity of hypertension,increase,Diflunisal,Aripiprazole
197204,197204,The risk or severity of hypertension,increase,Diflunisal,Methotrimeprazine
197205,197205,The risk or severity of hypertension,increase,Diflunisal,Clenbuterol
197206,197206,The risk or severity of hypertension,increase,Diflunisal,Bambuterol
197208,197208,The risk or severity of hypertension,increase,Diflunisal,Dextroamphetamine
197212,197212,The risk or severity of hypertension,increase,Diflunisal,Dronedarone
197218,197218,The risk or severity of hypertension,increase,Diflunisal,Mianserin
197220,197220,The risk or severity of hypertension,increase,Diflunisal,Asenapine
197226,197226,The risk or severity of hypertension,increase,Diflunisal,Cannabidiol
197238,197238,The risk or severity of renal failure and hypertension,increase,Diflunisal,Aliskiren
197240,197240,the antihypertensive activities,decrease,Diflunisal,Hydralazine
197245,197245,The risk or severity of bleeding and hemorrhage,increase,Diflunisal,Acenocoumarol
197257,197257,The risk or severity of renal failure hyperkalemia and hypertension,increase,Irbesartan,Diflunisal
197261,197261,the antihypertensive activities,decrease,Diflunisal,Alprenolol
197263,197263,the antihypertensive activities,decrease,Diflunisal,Carvedilol
197265,197265,the antihypertensive activities,decrease,Diflunisal,Acebutolol
197270,197270,the antihypertensive activities,decrease,Diflunisal,Celiprolol
197271,197271,the antihypertensive activities,decrease,Diflunisal,Nebivolol
197278,197278,The therapeutic efficacy,decrease,Bumetanide,Diflunisal
197280,197280,the neuroexcitatory activities,increase,Diflunisal,Lomefloxacin
197288,197288,The serum concentration,decrease,Digitoxin,Diflunisal
197293,197293,The metabolism,decrease,Mercaptopurine,Diflunisal
197302,197302,The risk or severity of gastrointestinal bleeding,increase,Diflunisal,Nefazodone
197305,197305,the hypoglycemic activities,increase,Diflunisal,Glyburide
197306,197306,the hypoglycemic activities,increase,Diflunisal,Glipizide
197307,197307,the hypoglycemic activities,increase,Diflunisal,Gliclazide
197310,197310,the hypoglycemic activities,increase,Diflunisal,Bromocriptine
197316,197316,the hypoglycemic activities,increase,Diflunisal,Alogliptin
197318,197318,the hypoglycemic activities,increase,Diflunisal,Linagliptin
197320,197320,the hypoglycemic activities,increase,Diflunisal,Lobeglitazone
197326,197326,The therapeutic efficacy,decrease,Balsalazide,Diflunisal
197329,197329,The therapeutic efficacy,decrease,Diflunisal,Bromfenac
197331,197331,The therapeutic efficacy,decrease,Diflunisal,Lornoxicam
197332,197332,The therapeutic efficacy,decrease,Diflunisal,Aceclofenac
197334,197334,The risk or severity of gastrointestinal irritation,increase,Diflunisal,Methylprednisolone
197336,197336,The risk or severity of gastrointestinal irritation,increase,Diflunisal,Budesonide
197337,197337,The risk or severity of gastrointestinal irritation,increase,Diflunisal,Dexamethasone
197352,197352,The risk or severity of hyperkalemia,increase,Diflunisal,Ketoconazole
197354,197354,The risk or severity of hyperkalemia,increase,Diflunisal,Itraconazole
197355,197355,The risk or severity of hyperkalemia,increase,Diflunisal,Amiodarone
197358,197358,The risk or severity of hyperkalemia,increase,Diflunisal,Flunarizine
197360,197360,The risk or severity of hyperkalemia,increase,Diflunisal,Methsuximide
197367,197367,The risk or severity of hyperkalemia,increase,Diflunisal,Aranidipine
197368,197368,The risk or severity of hyperkalemia,increase,Diflunisal,Azelnidipine
197370,197370,The risk or severity of hyperkalemia,increase,Diflunisal,Cilnidipine
197376,197376,The therapeutic efficacy,decrease,Felodipine,Diflunisal
197377,197377,The therapeutic efficacy,decrease,Methyldopa,Diflunisal
197378,197378,The therapeutic efficacy,decrease,Guanfacine,Diflunisal
197380,197380,The therapeutic efficacy,decrease,Diazoxide,Diflunisal
197381,197381,The therapeutic efficacy,decrease,Debrisoquine,Diflunisal
197385,197385,The therapeutic efficacy,decrease,Macitentan,Diflunisal
197388,197388,The therapeutic efficacy,decrease,Bepridil,Diflunisal
197398,197398,The risk or severity of adverse effects,increase,Diflunisal,Ibuprofen
197399,197399,The risk or severity of adverse effects,increase,Diflunisal,Lumiracoxib
197400,197400,The risk or severity of adverse effects,increase,Diflunisal,Etoricoxib
197409,197409,The risk or severity of adverse effects,increase,Diflunisal,Morniflumate
197415,197415,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Amantadine
197416,197416,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Almotriptan
197417,197417,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Azacitidine
197418,197418,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Maprotiline
197419,197419,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Isoniazid
197423,197423,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Dopamine
197424,197424,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Azathioprine
197426,197426,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Levobupivacaine
197427,197427,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Metyrapone
197431,197431,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Fenofibrate
197432,197432,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Memantine
197433,197433,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Lubiprostone
197436,197436,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Clonazepam
197438,197438,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Capecitabine
197440,197440,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Doxacurium
197441,197441,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Levofloxacin
197442,197442,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Bupropion
197445,197445,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Ifosfamide
197446,197446,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Naloxone
197447,197447,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Ceftriaxone
197448,197448,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Fomepizole
197449,197449,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Estazolam
197450,197450,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Ketamine
197452,197452,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Metoclopramide
197453,197453,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Gemfibrozil
197458,197458,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Colchicine
197461,197461,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Bromazepam
197466,197466,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Lorcaserin
197468,197468,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Brivaracetam
197469,197469,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Apremilast
197472,197472,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Nalmefene
197473,197473,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Droxidopa
197474,197474,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Levocetirizine
197478,197478,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Methyltestosterone
197480,197480,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Mirabegron
197482,197482,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Enzalutamide
197490,197490,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Dienogest
197494,197494,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Blonanserin
197507,197507,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Baricitinib
197508,197508,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Apalutamide
197511,197511,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Deutetrabenazine
197521,197521,the excretion rate which could result in a higher serum level,decrease,Cefazolin,Diflunisal
197525,197525,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Clevidipine
197527,197527,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Doxepin
197528,197528,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Desipramine
197529,197529,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Clomipramine
197536,197536,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Diflunisal,Conivaptan
197539,197539,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Efonidipine,Diflunisal
197543,197543,The metabolism,decrease,Buprenorphine,Diflunisal
197545,197545,The metabolism,decrease,Ezogabine,Diflunisal
197547,197547,The metabolism,decrease,Dapagliflozin,Diflunisal
197548,197548,The metabolism,decrease,Ambrisentan,Diflunisal
197553,197553,The metabolism,decrease,Canagliflozin,Diflunisal
197555,197555,The metabolism,decrease,Artenimol,Diflunisal
197556,197556,The metabolism,decrease,Ertugliflozin,Diflunisal
197569,197569,The risk or severity of gastrointestinal irritation,increase,Ethanol,Diflunisal
197571,197571,The risk or severity of bleeding,increase,Diflunisal,Cilostazol
197578,197578,The protein binding,decrease,Fosphenytoin,Diflunisal
199341,199341,the bradycardic activities,increase,Alprenolol,Ceritinib
199344,199344,the hypotensive activities,increase,Alprenolol,Amifostine
199345,199345,the hypotensive activities,increase,Diazoxide,Alprenolol
199347,199347,the antihypertensive activities,decrease,Dopamine,Alprenolol
199348,199348,the antihypertensive activities,decrease,Dutasteride,Alprenolol
199349,199349,the antihypertensive activities,decrease,Finasteride,Alprenolol
199353,199353,the central nervous system depressant ( CNS depressant ) activities,increase,Alprenolol,Buprenorphine
199354,199354,the central nervous system depressant ( CNS depressant ) activities,increase,Alprenolol,Hydrocodone
199355,199355,the central nervous system depressant ( CNS depressant ) activities,increase,Alprenolol,Methotrimeprazine
199363,199363,The therapeutic efficacy,increase,Alprenolol,Amiodarone
199364,199364,the bradycardic activities,increase,Dronedarone,Alprenolol
199369,199369,The risk or severity of adverse effects,increase,Alprenolol,Acenocoumarol
199372,199372,the hypotensive activities,increase,Alprenolol,Dorzolamide
199375,199375,the hypotensive activities,increase,Alprenolol,Debrisoquine
199377,199377,the hypotensive activities,increase,Alprenolol,Ambrisentan
199378,199378,the hypotensive activities,increase,Alprenolol,Macitentan
199380,199380,the hypotensive activities,increase,Hydralazine,Alprenolol
199382,199382,the central nervous system depressant ( CNS depressant ) activities,increase,Alprenolol,Ethanol
199383,199383,the central nervous system depressant ( CNS depressant ) activities,increase,Alprenolol,Azelastine
199386,199386,The risk or severity of adverse effects,increase,Alprenolol,Nefazodone
199393,199393,The serum concentration,increase,Alprenolol,Mesoridazine
199399,199399,the antihypertensive activities,decrease,Ketoprofen,Alprenolol
199400,199400,the antihypertensive activities,decrease,Balsalazide,Alprenolol
199401,199401,the antihypertensive activities,decrease,Ibuprofen,Alprenolol
199402,199402,the antihypertensive activities,decrease,Lumiracoxib,Alprenolol
199404,199404,the antihypertensive activities,decrease,Etoricoxib,Alprenolol
199411,199411,the antihypertensive activities,decrease,Lornoxicam,Alprenolol
199412,199412,the antihypertensive activities,decrease,Aceclofenac,Alprenolol
199418,199418,the antihypertensive activities,decrease,Morniflumate,Alprenolol
199428,199428,The risk or severity of adverse effects,increase,Alprenolol,Mercaptopurine
199429,199429,The risk or severity of adverse effects,increase,Alprenolol,Aminophylline
199436,199436,the arrhythmogenic activities,increase,Alprenolol,Digitoxin
199440,199440,the arrhythmogenic activities,increase,Alprenolol,Celiprolol
199443,199443,the arrhythmogenic activities,increase,Alprenolol,Nebivolol
199445,199445,the arrhythmogenic activities,increase,Acebutolol,Alprenolol
199449,199449,the arrhythmogenic activities,increase,Alprenolol,Encainide
199450,199450,the arrhythmogenic activities,increase,Alprenolol,Aprindine
199452,199452,the arrhythmogenic activities,increase,Alprenolol,Flecainide
199454,199454,The risk or severity of bradycardia,increase,Felodipine,Alprenolol
199456,199456,The risk or severity of bradycardia,increase,Bepridil,Alprenolol
199460,199460,The risk or severity of bradycardia,increase,Flunarizine,Alprenolol
199462,199462,The risk or severity of bradycardia,increase,Clevidipine,Alprenolol
199463,199463,The risk or severity of bradycardia,increase,Methsuximide,Alprenolol
199471,199471,The risk or severity of bradycardia,increase,Aranidipine,Alprenolol
199472,199472,The risk or severity of bradycardia,increase,Azelnidipine,Alprenolol
199474,199474,The risk or severity of bradycardia,increase,Cilnidipine,Alprenolol
199475,199475,The risk or severity of bradycardia,increase,Efonidipine,Alprenolol
199483,199483,The risk or severity of bradycardia,increase,Alprenolol,Carvedilol
199495,199495,the bradycardic activities,increase,Memantine,Alprenolol
199497,199497,the bradycardic activities,increase,Neostigmine,Alprenolol
199499,199499,the bradycardic activities,increase,Capsaicin,Alprenolol
199503,199503,the hypotensive activities,increase,Moclobemide,Alprenolol
199515,199515,the bronchodilatory activities,decrease,Alprenolol,Clenbuterol
199516,199516,the bronchodilatory activities,decrease,Alprenolol,Bambuterol
199518,199518,the bronchodilatory activities,decrease,Alprenolol,Droxidopa
199533,199533,the central nervous system depressant ( CNS depressant ) activities,increase,Alprenolol,Doxepin
199541,199541,the bradycardic activities,increase,Alprenolol,Crizotinib
199546,199546,The metabolism,decrease,Alprenolol,Ketoconazole
199551,199551,The metabolism,decrease,Alprenolol,Abiraterone
199562,199562,The metabolism,decrease,Desipramine,Alprenolol
199564,199564,The metabolism,decrease,Lorcaserin,Alprenolol
199565,199565,The metabolism,decrease,Mirabegron,Alprenolol
199566,199566,The metabolism,decrease,Alprenolol,Cinacalcet
199567,199567,The metabolism,decrease,Alprenolol,Bupropion
199569,199569,The metabolism,decrease,Alprenolol,Midostaurin
199570,199570,The risk or severity of adverse effects,increase,Gabapentin,Alprenolol
199571,199571,The risk or severity of adverse effects,increase,Alprenolol,Granisetron
199575,199575,The risk or severity of adverse effects,increase,Alprenolol,Almotriptan
199576,199576,The risk or severity of adverse effects,increase,Alprenolol,Maprotiline
199577,199577,The risk or severity of adverse effects,increase,Alprenolol,Felbamate
199578,199578,The risk or severity of adverse effects,increase,Alprenolol,Naratriptan
199581,199581,The risk or severity of adverse effects,increase,Alprenolol,Alosetron
199583,199583,The risk or severity of adverse effects,increase,Alprenolol,Frovatriptan
199584,199584,The risk or severity of adverse effects,increase,Alprenolol,Methoxyflurane
199585,199585,The risk or severity of adverse effects,increase,Alprenolol,Melatonin
199586,199586,The risk or severity of adverse effects,increase,Alprenolol,Clonazepam
199588,199588,The risk or severity of adverse effects,increase,Alprenolol,Doxacurium
199589,199589,The risk or severity of adverse effects,increase,Alprenolol,Halothane
199590,199590,The risk or severity of adverse effects,increase,Alprenolol,Cyclizine
199593,199593,The risk or severity of adverse effects,increase,Alprenolol,Estazolam
199594,199594,The risk or severity of adverse effects,increase,Alprenolol,Ketamine
199596,199596,The risk or severity of adverse effects,increase,Alprenolol,Levodopa
199598,199598,The risk or severity of adverse effects,increase,Alprenolol,Decamethonium
199603,199603,The risk or severity of adverse effects,increase,Alprenolol,Ethylmorphine
199604,199604,The risk or severity of adverse effects,increase,Alprenolol,Flunitrazepam
199605,199605,The risk or severity of adverse effects,increase,Alprenolol,Bromazepam
199606,199606,The risk or severity of adverse effects,increase,Alprenolol,Clotiazepam
199613,199613,The risk or severity of adverse effects,increase,Alprenolol,Ezogabine
199614,199614,The risk or severity of adverse effects,increase,Alprenolol,Brivaracetam
199618,199618,The risk or severity of adverse effects,increase,Alprenolol,Mianserin
199620,199620,The risk or severity of adverse effects,increase,Alprenolol,Levocetirizine
199623,199623,The risk or severity of adverse effects,increase,Alprenolol,Agomelatine
199637,199637,The risk or severity of adverse effects,increase,Alprenolol,Blonanserin
199647,199647,The risk or severity of adverse effects,increase,Asenapine,Alprenolol
199650,199650,The risk or severity of adverse effects,increase,Alprenolol,Fosphenytoin
199653,199653,The risk or severity of adverse effects,increase,Clomipramine,Alprenolol
199654,199654,The risk or severity of QTc prolongation,decrease,Hydroxychloroquine,Alprenolol
199657,199657,The risk or severity of hyperkalemia,increase,Alprenolol,Irbesartan
199663,199663,The risk or severity of hyperkalemia,increase,Alprenolol,Aliskiren
199667,199667,The risk or severity of hyperkalemia,increase,Alprenolol,Itraconazole
199674,199674,The therapeutic efficacy,decrease,Methyldopa,Alprenolol
199675,199675,The therapeutic efficacy,decrease,Guanfacine,Alprenolol
199683,199683,The metabolism,decrease,Alprenolol,Dexfenfluramine
199689,199689,The metabolism,decrease,Fluvastatin,Alprenolol
199690,199690,The metabolism,decrease,Cilostazol,Alprenolol
199691,199691,The metabolism,decrease,Idarubicin,Alprenolol
199692,199692,The metabolism,decrease,Domperidone,Alprenolol
199697,199697,The metabolism,decrease,Netupitant,Alprenolol
199698,199698,The metabolism,decrease,Ibrutinib,Alprenolol
199705,199705,The metabolism,decrease,Deutetrabenazine,Alprenolol
199709,199709,The metabolism,decrease,Mequitazine,Alprenolol
199718,199718,The risk or severity of adverse effects,increase,Cannabidiol,Alprenolol
199719,199719,The risk or severity of adverse effects,increase,Nabiximols,Alprenolol
199721,199721,The metabolism,increase,Alprenolol,Apremilast
199724,199724,The therapeutic efficacy,decrease,Alprenolol,Dextroamphetamine
199728,199728,the hypotensive activities,increase,Conivaptan,Alprenolol
199730,199730,the hypotensive activities,increase,Bumetanide,Alprenolol
199732,199732,the hypotensive activities,increase,Levobupivacaine,Alprenolol
199737,199737,The risk or severity of hypotension,increase,Aripiprazole,Alprenolol
199739,199739,The therapeutic efficacy,increase,Glyburide,Alprenolol
199740,199740,The therapeutic efficacy,increase,Glipizide,Alprenolol
199741,199741,The therapeutic efficacy,increase,Gliclazide,Alprenolol
199746,199746,The therapeutic efficacy,increase,Canagliflozin,Alprenolol
199747,199747,The therapeutic efficacy,increase,Bromocriptine,Alprenolol
199748,199748,The therapeutic efficacy,increase,Alprenolol,Dapagliflozin
199751,199751,The therapeutic efficacy,increase,Alogliptin,Alprenolol
199758,199758,The therapeutic efficacy,increase,Linagliptin,Alprenolol
199759,199759,The therapeutic efficacy,increase,Lobeglitazone,Alprenolol
199761,199761,The therapeutic efficacy,increase,Ertugliflozin,Alprenolol
199763,199763,The risk or severity of CNS depression,increase,Cyclobenzaprine,Alprenolol
199764,199764,The risk or severity of sedation,increase,Metoclopramide,Alprenolol
199769,199769,The metabolism,decrease,Alprenolol,Cocaine
199770,199770,The metabolism,decrease,Alprenolol,Doxorubicin
199771,199771,The metabolism,decrease,Alprenolol,Hydroxyurea
199772,199772,The metabolism,decrease,Alprenolol,Diphenhydramine
199773,199773,The metabolism,decrease,Alprenolol,Miconazole
199774,199774,The metabolism,decrease,Alprenolol,Chlorpheniramine
199775,199775,The metabolism,decrease,Alprenolol,Bicalutamide
199779,199779,The metabolism,decrease,Alprenolol,Lenvatinib
199783,199783,The metabolism,decrease,Alprenolol,Artenimol
199787,199787,The metabolism,decrease,Alprenolol,Everolimus
199996,199996,the hypotensive activities,increase,Dorzolamide,Methyldopa
199997,199997,the hypotensive activities,increase,Dorzolamide,Guanfacine
199998,199998,the hypotensive activities,increase,Dorzolamide,Felodipine
199999,199999,the hypotensive activities,increase,Dorzolamide,Irbesartan
200002,200002,the hypotensive activities,increase,Dorzolamide,Diazoxide
200003,200003,the hypotensive activities,increase,Dorzolamide,Carvedilol
200004,200004,the hypotensive activities,increase,Dorzolamide,Acebutolol
200006,200006,the hypotensive activities,increase,Dorzolamide,Bepridil
200007,200007,the hypotensive activities,increase,Dorzolamide,Hydralazine
200013,200013,the hypotensive activities,increase,Dorzolamide,Debrisoquine
200014,200014,the hypotensive activities,increase,Dorzolamide,Celiprolol
200015,200015,the hypotensive activities,increase,Dorzolamide,Nebivolol
200018,200018,the hypotensive activities,increase,Dorzolamide,Ambrisentan
200022,200022,the hypotensive activities,increase,Dorzolamide,Macitentan
200023,200023,the hypotensive activities,increase,Dorzolamide,Aliskiren
200024,200024,the hypotensive activities,increase,Dorzolamide,Efonidipine
